# HD   b-y   m1    c1    beta
19342 0.310 0.198 0.772 2.733
19910 0.190 0.200 0.730 2.810
36360 0.162 0.235 0.812 2.802
126031 0.202 0.230 0.663 2.740
127263 0.135 0.282 0.800 2.826 
155714 0.230 0.189 0.675 2.72
195692 0.164 0.207 0.760 2.78
199360 0.183 0.252 0.739 2.78
