  HD    beta   b-y   E(b-y) m1   (m1)0  c1  (c1)0
 32893 2.800  0.169 
 19342 2.733  0.310  0.10 0.198  0.23 0.772  0.75
 19910 2.810  0.190  0.04 0.200  0.21 0.730  0.72
 36360 2.802  0.162  0.01 0.235  0.24 0.812  0.81
126031 2.740  0.202 -0.01 0.230  0.23 0.663  0.67
127263 2.826  0.135 -0.01 0.282  0.28 0.800  0.80
155714 2.720  0.230  0.01 0.189  0.19 0.675  0.67
195692 2.780  0.164  0.00 0.207  0.21 0.760  0.76
199360 2.800  0.183  0.02 0.252  0.26 0.739  0.74
